,address,type,label,n_in,n_out,n_ttl,avg_am_in,avg_am_out,avg_am_ttl,ttl_am_in,ttl_am_out,ttl_am_ttl,balance,balance_label,max_am_in,max_am_out,max_am_ttl,min_am_in,min_am_out,min_am_ttl,med_am_in,med_am_out,med_am_ttl,q1_am_in,q1_am_out,q1_am_ttl,q3_am_in,q3_am_out,q3_am_ttl,range_am_in,range_am_out,range_am_ttl,std_am_in,std_am_out,std_am_ttl,ske_am_in,ske_am_out,ske_am_ttl,kur_am_in,kur_am_out,kur_am_ttl,ske_am_in_label,ske_am_out_label,ske_am_ttl_label,kur_am_in_label,kur_am_out_label,kur_am_ttl_label,time_range_in,time_range_out,time_range_ttl,n_fre_in,n_fre_out,n_fre_ttl,am_fre_in,am_fre_out,am_fre_ttl,max_fee_to_in,n_pr80_fee_to_in,n_join_pr80_am,n_in_to_out_ratio,n_join_huge,n_join_pr80
1092,19S6fJhxjn28gT47GiSmCUKyCaw9w9DPrq,EXCHANGE,1,12,13,25,131271013.0,128865550.46153846,130020172.48,1575252156,1675252156,3250504312,100000000,0,300000000,300000000,300000000,1875125,1875125,1875125,110346173.5,108692347.0,108692347.0,77119224.75,100000000.0,100000000.0,203500000.0,200000000.0,200000000.0,298124875,298124875,298124875,99546418.98525788,96003417.16562328,97727480.26851168,0.3720314973831995,0.4553804611942856,0.4145553489998629,0.9183544350810592,0.7359956875987752,0.8279761768459126,0,0,0,1,0,1,26182680,25224080,26186644,4.583182470243688e-07,5.153805411337103e-07,9.546851440757358e-07,60.16390056327312,66.41479713036115,124.1283270968208,0.0189298939295928,0,24,0.9230769230769232,7,1
1093,1A411EwnHEEpW9TA6zfm7un1YNUvxaNHCY,GAMBLING,2,131,136,267,9409201.732824428,9355186.963235294,9381688.5917603,1232605427,1272305427,2504910854,39700000,0,23000000,23000000,23000000,1000000,1000000,1000000,8700000.0,8700000.0,8700000.0,6850000.0,6925000.0,6850000.0,11172000.0,11027500.0,11110000.0,22000000,22000000,22000000,4117545.910216605,4068554.1964925537,4092753.690298787,0.8603453368629607,0.8879294117320209,0.8743748531387263,0.8005556115939481,0.8978637854324818,0.8494839709984725,0,0,0,0,0,0,528524,318173,536692,0.0002478600782556,0.0004274404176344,0.0004974920438538,2332.1654778212533,3998.785022613484,4667.3154323149965,0.032964983910025,49,205,0.9632352941176472,118,33
1094,1JQmnzqHiuEGmoiMggSAjjnVcer9FCk46L,POOL,0,1,1,2,4168369.0,4168369.0,4168369.0,4168369,4168369,8336738,0,0,4168369,4168369,4168369,4168369,4168369,4168369,4168369.0,4168369.0,4168369.0,4168369.0,4168369.0,4168369.0,4168369.0,4168369.0,4168369.0,0,0,0,0.0,0.0,0.0,,,,,,,1,1,1,1,1,1,0,0,421641,1.0,1.0,4.743371730927495e-06,4168369.0,4168369.0,19.77212367867451,6.800705109862482e-06,0,0,1.0,1,1
1095,1FJt7MjRrGj3fcJBBrSYwvXvFTVwwe9qUt,POOL,0,460,460,920,46204657.19565217,46204657.19565217,46204657.19565217,21254142310,21254142310,42508284620,0,0,499990000,499990000,499990000,10000,10000,10000,51470273.5,51470273.5,51470273.5,21460125.25,21460125.25,21460125.25,69722801.5,69722801.5,69722801.5,499980000,499980000,499980000,33565965.07140213,33565965.07140213,33565965.07140213,5.177991699290346,5.177991699290346,5.177991699290347,70.26012574293152,70.26012574293149,70.26012574293149,0,0,0,0,0,0,23078060,42770327,42831310,1.9932351332824336e-05,1.075512001579974e-05,2.14796138619155e-05,920.9674604364492,496.93663342812414,992.4581951847842,0.0007889072369986,0,24,1.0,917,759
1096,1GdNYoVU6e4ZQw51ANUURF6eTdZGbTXkxT,POOL,0,2,2,4,12070613.5,12070613.5,12070613.5,24141227,24141227,48282454,0,0,15502526,15502526,15502526,8638701,8638701,8638701,12070613.5,12070613.5,12070613.5,10354657.25,10354657.25,8638701.0,13786569.75,13786569.75,15502526.0,6863825,6863825,6863825,3431912.5,3431912.5,3431912.5,0.0,0.0,0.0,2.0,2.0,2.0,0,0,0,1,0,1,598,76895,77283,0.0033444816053511,2.600949346511477e-05,5.1757825136187776e-05,40369.94481605351,313.95054294817606,624.7487028195076,0.0010368695250048,0,4,1.0,0,0
1097,1HhFzd1jDbU19eayGgt4ZXag56QcCu9gCC,GAMBLING,2,53,231,284,171498.98113207548,137503.44155844155,143847.6795774648,9089446,31763295,40852741,22673849,0,1090428,1090428,1090428,63566,547,547,122546.0,97821.0,102352.0,95409.0,76439.0,79061.0,216527.0,141241.5,156341.0,1026862,1089881,1089881,150423.4319352817,149192.19149150798,150008.60056819746,4.375684410838082,4.404714947846609,4.350711726934849,23.527588325676767,21.47914573033598,21.544452465484017,0,0,0,0,0,0,13035192,27308935,27308935,4.065916328658604e-06,8.458769995973845e-06,1.0399526748296848e-05,0.6973005077332194,1.1631099857976883,1.495947791446279,0.015975384399677,2,282,0.2294372294372294,257,1
1098,1E3Ta77dzGC4MKhiWm5tGygsSsZ97V9iJH,POOL,0,1,1,2,1503688258.0,1503688258.0,1503688258.0,1503688258,1503688258,3007376516,0,0,1503688258,1503688258,1503688258,1503688258,1503688258,1503688258,1503688258.0,1503688258.0,1503688258.0,1503688258.0,1503688258.0,1503688258.0,1503688258.0,1503688258.0,1503688258.0,0,0,0,0.0,0.0,0.0,,,,,,,1,1,1,1,1,1,0,0,408304,1.0,1.0,4.898311062345703e-06,1503688258.0,1503688258.0,7365.53282848074,0.0,0,0,1.0,1,0
1099,1LjyoVThVpNVSCURvK3iHpgtJ4gWvqJ93E,POOL,0,3,4,7,500821831.6666667,375616374.0,429275855.85714287,1502465495,1502465496,3004930991,1,0,1502465493,1502465493,1502465493,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,751232747.0,375616374.0,751232747.0,1502465492,1502465492,1502465492,708269025.2613215,650586642.1907426,678744722.9322132,0.7071067811865475,1.1547005383792517,0.9486832980505138,1.5,0.666666666666667,1.1000000000000003,0,0,0,1,0,1,599388,38307,785119,5.005105207311458e-06,0.0001044195577831,8.915845878140766e-06,2506.665957610096,39221.69566919884,3827.357370029257,0.9976720984369803,0,3,0.75,6,0
1100,1LQmG6Siu9iASk7uogSp9jBzXGBEjH4S5H,GAMBLING,2,3,13,16,67873.33333333333,210793.61538461535,183996.0625,203620,2740317,2943937,2536697,0,87725,933741,933741,45895,45895,45895,70000.0,119557.0,90199.0,57947.5,82470.0,70300.0,78862.5,200106.0,179384.25,41830,887846,887846,17143.1085927326,229526.29544096268,214409.173954984,0.1841715001138237,2.333397106445369,2.644791209694819,1.5000000000000002,4.656792834652302,6.438606182939491,1,0,0,1,0,0,3278,22528699,22528699,0.0009151921903599,5.770417546081999e-07,7.102052364408615e-07,62.11714460036608,0.1216367176817445,0.130674967072,0.0065667680088762,0,15,0.2307692307692307,16,1
1101,1PvYdSoBueJm9Z21t2Qp5NgvZjyN8XrfFG,POOL,0,1,1,2,39781513.0,39781513.0,39781513.0,39781513,39781513,79563026,0,0,39781513,39781513,39781513,39781513,39781513,39781513,39781513.0,39781513.0,39781513.0,39781513.0,39781513.0,39781513.0,39781513.0,39781513.0,39781513.0,0,0,0,0.0,0.0,0.0,,,,,,,1,1,1,1,1,1,0,0,223145,1.0,1.0,8.962782047547558e-06,39781513.0,39781513.0,356.5530305406798,3.516361766264668e-05,0,0,1.0,2,2
1102,17H2SSKrzW1YvYJbKPRCFXBiowVjVmzN95,POOL,0,1,1,2,1500502000.0,1500502000.0,1500502000.0,1500502000,1500502000,3001004000,0,0,1500502000,1500502000,1500502000,1500502000,1500502000,1500502000,1500502000.0,1500502000.0,1500502000.0,1500502000.0,1500502000.0,1500502000.0,1500502000.0,1500502000.0,1500502000.0,0,0,0,0.0,0.0,0.0,,,,,,,1,1,1,1,1,1,0,0,119363,1.0,1.0,1.6755611035245427e-05,1500502000.0,1500502000.0,25141.827869607838,1.2988155848019269e-05,0,0,1.0,1,1
1103,1KHqACdt5tLfFpdsxUJ5GERySWqPLrtNCy,GAMBLING,2,4,5,9,861181.25,1028945.0,954383.3333333334,3444725,5144725,8589450,1700000,0,1732286,1732286,1732286,168351,168351,168351,772044.0,1373217.0,1373217.0,170241.0,170871.0,170871.0,1462984.25,1700000.0,1700000.0,1563935,1563935,1563935,703126.249567023,712802.8630136105,713405.7146263657,0.0961838304127319,0.3193238549859473,0.1316931510999044,1.872787631344248,1.7974640215205164,1.8760598523371173,0,1,1,1,0,1,13031850,1479320,24604594,3.06940303947636e-07,3.379931319795582e-06,3.657853488661508e-07,0.2643312346290051,3.4777634318470647,0.3490994405353732,0.0028474878977524,0,7,0.8,7,0
1104,134XJyfux1hX8Hs66mRHwH2MhDcPhbYQBn,POOL,0,1,1,2,4788753.0,4788753.0,4788753.0,4788753,4788753,9577506,0,0,4788753,4788753,4788753,4788753,4788753,4788753,4788753.0,4788753.0,4788753.0,4788753.0,4788753.0,4788753.0,4788753.0,4788753.0,4788753.0,0,0,0,0.0,0.0,0.0,,,,,,,1,1,1,1,1,1,0,0,1058344,1.0,1.0,1.8897447332814284e-06,4788753.0,4788753.0,9.04952076073564,2.2173897717265792e-05,0,1,1.0,1,1
1105,1BoJCwAQ2fG4vTxqdednK1nSpL6ZLwnpWX,GAMBLING,2,8,31,39,4663838.25,2143518.2580645164,2660506.9743589745,37310706,66449066,103759772,29138360,0,11633047,11633047,11633047,12302,12302,12302,3968771.5,1183952.0,1287013.0,1380419.0,427975.0,427975.0,7134431.5,1885596.0,3429647.0,11620745,11620745,11620745,3989545.5821256367,2733687.4766755686,3200114.350339587,0.4453543402194591,2.0577029310465544,1.5612169229877904,1.1296973210381116,3.643875447129439,1.3959205678037927,0,0,0,1,0,0,13034533,19512082,23344022,6.137542480424883e-07,1.5887592108315248e-06,1.6706632644537431e-06,2.862450538120545,3.405534376085545,4.444811266884516,0.0091470206032478,0,39,0.2580645161290322,39,1
1106,1MaxbNJmvrrsisot1MsqzxbuNaDRMquXqu,EXCHANGE,1,368,492,860,34885872.51358695,26136575.37601626,29880460.662790697,12838001085,12859195085,25697196170,21194000,0,750000000,750000000,750000000,1000,1000,1000,1712661.5,42578.0,86979.0,38641.75,10000.0,35657.75,24859914.5,11587057.5,20000000.0,749999000,749999000,749999000,82296067.30759448,72757840.7890427,77105716.57060713,4.21116184786644,4.893029005889572,4.5636417304987145,23.806360945875586,32.09824351766765,27.93627952821944,0,0,0,0,0,0,116159903,116154567,116165532,3.168046722628548e-06,4.235735302598993e-06,7.403228696098942e-06,110.52007408270649,110.70761500923162,221.2118838314277,0.3740500595278359,85,685,0.7479674796747967,263,103
1107,13KWG671y57CSk1Fo2pqLtYHw8pMGM5zTT,POOL,0,1,1,2,3787041.0,3787041.0,3787041.0,3787041,3787041,7574082,0,0,3787041,3787041,3787041,3787041,3787041,3787041,3787041.0,3787041.0,3787041.0,3787041.0,3787041.0,3787041.0,3787041.0,3787041.0,3787041.0,0,0,0,0.0,0.0,0.0,,,,,,,1,1,1,1,1,1,0,0,42670,1.0,1.0,4.687133817670495e-05,3787041.0,3787041.0,177.50367940004688,0.0,0,0,1.0,1,0
1108,1HerwdSPs3usdukoXdFFQmpjajwEY35SSy,GAMBLING,2,1,3,4,20019378.0,23320100.0,22494919.5,20019378,69960300,89979678,49940922,0,20019378,31781892,31781892,20019378,18159030,18159030,20019378.0,20019378.0,20019378.0,20019378.0,19089204.0,19554291.0,20019378.0,25900635.0,22960006.5,0,13622862,13622862,0.0,6031399.315732296,5415357.961585065,,0.6569870298574747,1.0848175076111637,,1.5,0.7130646139265098,1,0,0,1,1,1,0,0,12146510,1.0,3.0,3.293126996972793e-07,20019378.0,69960300.0,7.407862670017972,0.0020321888018351,0,4,0.3333333333333333,1,0
